raw,s,pol,similarity,p,score
"Observed on a onion blossom yesterday and captured there today.  Photo is of underside, colors black and reddish orange. Not large.  I’ll save the specimen for a few days and watch for others.",Negative ID,-0.03158730158730158,0.82143283899563,1,0.7898455374083284
About an inch long.  Longer if you include the length of stinger.  Almost entirely black with some yellow on legs and antennae.  Still have specimen contained.,Negative ID,-0.01444444444444444,0.8538873204461083,0.868421052631579,0.7270892812061233
"Spotted hornet/wasp looking insect on my property. Approximately 2.5 inches in length .5 in diameter. Orangish head.  Lack thorax, thinly black stripped wider yellowish striped abdomen/Tail section. Head was quite large compared to rest of body. Pincers",Unverified,-0.02349206349206348,0.8730993968262613,0.7368421052631579,0.6198443341693922
"I have lived in Washington for 45 years & have never seen a wasp this large.  It was approximately 1.5-2.0 inches long, had yellow/black stripes, bright oranges legs & wings (legs & wings were also very long), & an orange & yellow face.  It had a long st",Unverified,0,0.8139353496063867,0.7368421052631579,0.5997418365520744
"This specimen was laying on our sidewalk when I returned from a walk this morning. I think it may be a giant Asian hornet?  I have it in a jar, would you like me to save it so someone can check it out? Have you had any other sightings in the area?",Negative ID,-0.008333333333333321,0.8164267119453547,0.7368421052631579,0.5932442438895595
We were sitting on the back porch when we thought a hummingbird was collecting nectar from the flowers. It was a giant Asian hornet instead. It had the big orange head and it's body was striped like a hornet. My husband tried to swat it away and it was c,Unverified,0,0.971759733155233,0.6052631578947368,0.5881703648044831
"Seen flying near the ground in our front yard, eating a small cricket. Was flying in and out of a hole in the ground. Husband killed it with WD-40. Have the specimen in a jar.",Negative ID,-0.02333333333333332,0.9956492386190243,0.6052631578947368,0.5792964689887077
"Found one flying around trapped inside of my barn. This hornet was huge, vividly orange and black, and had a large head and eyes. It appeared to have a fuzzy body. It was also very loud. This was unlike anything I've seen here before. I'll get a photo if",Unverified,0,0.9508060587835093,0.6052631578947368,0.5754878776847556
"It was easily 3- 4 inches black and yellowish orange. Sorry have a picture, was to big a s had my dog with me.",Unverified,-0.01166666666666666,0.7951734831544307,0.7368421052631579,0.5742506367102822
Close to Humming bird feeder inside sugar water trap.  Has a live specimen in his possession.,Unverified,0,0.9470724982139591,0.6052631578947368,0.5732280910242384
My neighbor and I observed a large black and orange Hornet at her house that we believe was an Asian Giant Hornet. It didn't have the distinct black striping like the picture but was more of a bright orange abdomen although Norma did see striping on it's,Unverified,0,0.9374347110159685,0.6052631578947368,0.5673946935096652
"I've been to Cambodia and seen very large bees there. This was similar in size but wasn't yellow or orange w/ black like I've seen in the past. 1.5 - 2 inches long. It flew off before I could get a picture but I'm from here, it definitely wasn't a wasp.",Unverified,-0.00537414965986394,0.8599219271766101,0.6578947368421053,0.560363960324748
"was a big hornet. really husky, black with very distinctive orange and black stripes, big wings, flies fast. was within about 3 ft. of my shoe.",Unverified,0,0.9122361085109869,0.6052631578947368,0.5521429077829657
Quiet- big.  Husband is trying to catch specimen.,Unverified,0,0.7477246883116156,0.7368421052631579,0.5509550334927694
I found this specimen on our kitchen floor. It was already dead. I have seen yellow jackets around but none like this and none as big as this one.,Negative ID,-0.013333333333333319,0.6486385398818321,0.868421052631579,0.5499580302482577
"I observed a large, 1-2 wasp flying within arms reach of me. It looked mostly black with reddish, perhaps orange, stripes on its back. I clearly identified a large stinger on its body. I attempted to photograph it but it flew away before I could. I have",Unverified,0,0.9063005145562849,0.6052631578947368,0.5485503114419619
A giant wasp landed on my arm while I was walking on mallon street. I quickly brushed it off as it landed but I was massive with a big orange head and I remember thinking I've never seen a bee with such huge orange head.,Unverified,0,0.8982932516731105,0.6052631578947368,0.5437038102231985
"Asian giant hornet workers can grow to 1.5 inches in length and are     similar in size to other wasps that occur in Pennsylvania and may be confused with     Asian giant hornets. Asian giant hornets are strikingly colored, with yellow heads, a     black thorax, and yellow and black or brown striped abdomens.",Official,-0.0051190476190476,0.9033750260236776,0.6052631578947368,0.5416605733952836
I have a live specimen. No response since this morning. Do I just let it go?,Negative ID,0,0.8924401687910319,0.6052631578947368,0.5401611547945719
"It was 2"" long 2 1/2 including stinger (it had a triple stinger center part longest that looked wilted)) yellow head, long black antennae, orange and black body much like giant mud wasp. It flew around passed my left ear and landed on my right arm.",Unverified,-0.00095238095238094,0.8869944942931145,0.6052631578947368,0.5359127076987147
"I was watering my plants and a huge wasp started to fly around me, it was about 2 inches long and very thick body with orange/black stripes. I was not able to see the head.",Unverified,0,0.8817967524277164,0.6052631578947368,0.533719086995723
"Very large hornet, yellow face with black thorax and bright yellow stripes.  About 1.5 inches long. Flew back to Canada after buzzing my vehicle while I was parked.",Unverified,0,0.8725522286401007,0.6052631578947368,0.5281237173347978
"It seems longer and larger than a yellow jacket, but it has the dots on it’s back like a Yellowjacket unlike the black lines of a Asian giant hornet.",Negative ID,-0.00555555555555554,0.8771430761776743,0.6052631578947368,0.5253468326572474
"It was dead on the Port Orchard ferry dock. I have the 1"" long specimen, if you want it. I don't have a camera.",Unverified,-0.025,0.9064189738855996,0.6052631578947368,0.5236220105097049
I have the specimen in a jar. after looking at photo looks like a giant elm sawfly,Unverified,0,0.6996779775966703,0.7368421052631579,0.5155521940185991
The body is all black but legs are black and yellow striped. Head has large orange areas surrounded by black.,Negative ID,-0.01142857142857142,0.7023080658523021,0.7368421052631579,0.5060615823573353
Killed near commencement bay in tacoma.  Was NOT a native hornet.  Orange stripes but not day glo like some wasps. Enormous and frightening. Not a yellow jacket queen but slightly larger w weird eyes and distinct tiger orange stripes.  Widen your trappin,Unverified,-0.02,0.868995542097258,0.6052631578947368,0.5059709860062351
"I had a very large hornet fly into my house. It was pretty thick and had to be well over an inch long. Maybe two. It definitely had a stinger. I observed a black body, and a yellow / black striped (enormous) stinger. I didn't take a picture of it. I trap",Unverified,0,0.7647411814262981,0.6578947368421053,0.5031191983067751
2 construction workers building our deck saw a very large hornet and described a black body with. A yellow orange head.,Unverified,0,0.8152323903675226,0.6052631578947368,0.49343013101192157
Observed close to the ground. Was stung by a large insect approximately 3inches long. Yellow head and striped black and yellow torso. Painful bite with stinging lasting 2 days following,Unverified,-0.02449735449735448,0.8543560541317362,0.6052631578947368,0.4926128887929069
"Its mostly black, with yellow stripes on legs and yellow striped head. The second picture is for idea of how big. Man holding it is the one who found it.",Negative ID,-0.006666666666666659,0.8218663129386732,0.6052631578947368,0.4907787332698987
"I’m not positive because it was so quick, but this morning I saw what looked like a giant wasp about the size of my pinky finger. It was big enough to startle me and definitely larger than the wasps we have around our area. At first, I thought it might",Unverified,0,0.9207659672289312,0.5263157894736842,0.48461366696259534
Largest bee I've ever seen it swirled my head twice very strong head wind and still it was charging me. It was a yellowish orange and black and looked like it had dragon fly like double set of wings...did not get a picture as I was too scared to be outsi,Unverified,0,0.799714799757039,0.6052631578947368,0.4840379051161025
Seen on the Hibox mountain summit.  Located in center of photo.  Unfortunately I wasn't able to take a better picture before it flew off.  It appears black and yellow in the photo but it had black and orange stripes as I saw it.  There were many flies an,Negative ID,0,0.7991499348372733,0.6052631578947368,0.48369601319098116
Found dead in pool of water. Saved specimen in freezer if needed,Negative ID,-0.04,0.8553715708972462,0.6052631578947368,0.4777248981746491
"Large and wide, yellow head, black body with yellow stripes big black eyes Was sitting on one of our Adirondack chairs, wings were back and it was sitting very still.  Didn’t look like anything I had seen before, I hit it with a fly swatter and it look",Negative ID,0,0.7861493207072727,0.6052631578947368,0.4758272204280861
"Very large hornet in front of my house, 1.5-2 inches long. Dark yellow head, striped black and dark yellow abdomen, black thorax. Looked like murder hornets pictures I've seen but not orange, instead a dark yellow. Wasn't a yellow jacket, bee, or any was",Unverified,-0.01008658008658008,0.6585994130190679,0.7368421052631579,0.4751971979274699
