,Unnamed: 0,raw,cluster,s,pol,sub,similarity
0,0,"Asian giant hornet workers can grow to 1.5 inches in length and are     similar in size to other wasps that occur in Pennsylvania and may be confused with     Asian giant hornets. Asian giant hornets are strikingly colored, with yellow heads, a     black thorax, and yellow and black or brown striped abdomens.",[1],Official,-0.025595238095238,0.4529761904761905,0.598234173434752
1,1,"One dead wasp seen in Blaine, and suspect flying nearby",[0],Positive ID,-0.2,0.4,0.24086771686044003
2,2,Hornet specimen sent to WSU,[0],Positive ID,0.0,0.0,-0.07767993273489453
3,3,"Massive loss of bees, decapitated. No hornet specimens were located.",[0],Unverified,0.0,1.0,-0.0527191480186216
4,4,"This was the colony that was found and destroyed in Nanaimo, BC Sep 18, 2019. There were ~150 live hornets and ~600 unhatched eggs & larvae",[0],Positive ID,0.1363636363636363,0.5,-0.1267802558744464
5,5,"I was cleaning my gutters when I heard a snapping noise coming from the wall of my house. It was sitting on a dirt clump that looked to have been starting a nest. I backed away, and waited till evening to spray hornet killer on it. Next day knocked down",[0],Unverified,-0.0518518518518518,0.1296296296296296,0.17170115935754168
6,6,"We found about a dozen of these bees in our backfield last October while we were storing bee boxes, Sorry no pictures",[0],Unverified,-0.25,0.5333333333333333,0.160098000489503
7,7,"I'm not sure what this is, but it was the biggest looking wasp/hornet I’ve ever seen, at least an inch long. Sorry for the poor quality picture, I went inside to get a glass to catch it and it flew away.",[1],Negative ID,-0.3,0.6577777777777778,0.5839617988577596
8,8,Reported to Washington Invasive Species Council via voicemail,[0],Unverified,0.0,0.0,-0.3463455982230328
9,9,"slow moving, i have this in the freezer still i think. I saw 3 of them 98588",[0],Negative ID,-0.3,0.3999999999999999,0.262754356805925
10,10,It landed on my window while working. It walked around and then bounced across it as it tried to fly into the glass.,[1],Negative ID,0.8,0.9,0.2861557727093222
11,11,An enormous bee-like insect buzzed around the window sill in my south-facing upstairs bedroom window. It was much longer than any bee or hornet/wasp I have ever seen. The sheer length of it was unlike anything I've seen before. It appeared fuzzy like a b,[1],Unverified,0.0666666666666666,0.6166666666666667,0.5752356414441709
12,12,"Probably not an Asain Hornet but still a pretty mean looking one that I can't I.D. Second sighting that day, both found while cutting down dead Hemlock trees.",[0],Negative ID,-0.1696759259259259,0.5460648148148147,0.08816728454721333
13,13,It wasn't huge but definitely  had a yellow head and yellow mid section,[1],Unverified,0.08,0.2799999999999999,0.6195833329801206
14,14,"Was on the garden hose. It stung (maybe just a bite but there was only one puncture hole) the palm of my hand. Approximately 1.5 inches in length, dark dark brown with thin yellow markings.",[1],Negative ID,-0.1833333333333333,0.5416666666666666,0.49615312754866425
15,15,Digging garden area and uncovered a bee,[0],Unverified,0.0,0.0,0.13219369174373613
16,16,"The large size caught my attention.  I took a number of photos at the time, but haven't located them other than one I sent to another person.  It is still on a text message on a phone I do not use anymore.  Just looked it up and it appears to be what you",[0],Unverified,0.0446428571428571,0.4017857142857143,0.22807360044508068
17,17,These wasps visited my garden daily throughout the summer. They hunted particularly on my flowering Oregano plant.  They typically were there from mid morning to early evening. I’ve seem at least 2-3 there at the same time.,[0],Unverified,-0.0285714285714285,0.2369047619047619,0.1554123137008261
18,18,"Not sure if this is the target pest, but I figured we would send the picture in for examination. The head came off when we removed the pest from the cowling on an engine.",[0],Negative ID,-0.25,0.8888888888888888,0.18938123044143948
19,19,not sure if this is one. but in case it is. Saw it at Bayview farm and garden nursery on Whidbey Island,[0],Negative ID,-0.25,0.8888888888888888,-0.09342402411685152
20,20,"We've been noticing big, red hornet/wasps that live under the stone path in our backyard last summer. We didn't have an ID on them until now. No current photo unfortunately.",[1],Unverified,-0.0606060606060606,0.3444444444444444,0.33452044152827176
21,21,"We were at Skyline divide in 2016, I got the time and date from pictures taken during the hike. I didn’t put 2 and 2 together until today, up until then I thought I just got chased by the biggest, meanest hornets in the world that day, but hey, it’s",[0],Unverified,0.0,0.0,0.26024227482439194
22,22,"Observed flying around my porch. Hovered in place like a humming bird while facing me. I tried, but was unable to snap a photo.",[1],Unverified,-0.5,0.5,0.4824372354480955
23,23,"I am fairly confident this is what chased me around my pasture yesterday.  It is as huge, fast, and incessant.  I even smacked it hard with my cell phone, which stunned it, then it came back at me.  I was out checking my raspberry rows.  It didn’t stop",[1],Unverified,0.1616666666666666,0.575,0.2589803261544417
24,24,"Unknown if this is our invasive species, but its a growing colony right above the sidewalk on the concrete support wall for the Highway 99 overpass over Cloverdale, on the northwest corner.  Definitely a hazard to pedestrians regardless of species.  Didn",[0],Unverified,0.0671428571428571,0.4071428571428571,-0.11513826740664189
25,25,It stung me through a paper towel,[1],Unverified,0.0,0.0,0.22910142920359416
26,26,We live on the coast and are familiar with the bees and wasps in our area. We are outside most of the day until night. We kept remarking about a strange huge bee buzzing around that was orange and we’ve never seen before. I have no picture but will try,[1],Negative ID,0.2268939393939394,0.4333333333333333,0.39510521872176063
27,27,Not sure but this this was huge and never seen it before around my pond,[1],Unverified,0.075,0.8944444444444444,0.3024440356288795
28,28,"I live in Newcastle, WA and found a dead one on my front porch. I will leave it there if you want to confirm",[0],Negative ID,-0.0318181818181818,0.45,0.043817344682153175
29,29,"Saw this big bee on my back deck, tried to look it up but I couldn't find a match.  Very large and in my entire life I have not seen one like this in Washington state. Thank you.",[1],Negative ID,0.0696428571428571,0.3205357142857142,0.4298779329767934
30,30,"My husband and I were walking in the Orting Trail between Sumner, Puyallup and Orting when an insect buzzed past my head. It was larger than bees or flies I had seen before. I joked that “whatever it was it just darkened the sky for a bit�? I was jok",[1],Unverified,-0.125,0.375,0.31595542575750085
31,31,Orondo State Park - near the apple orchards.,[0],Unverified,0.1,0.4,-0.24526922850248714
32,32,I had arrived at the Ephrata gun ranger's 25 yd handgun bay. While I was offloading my gear and equipment I noticed a large orange headed beeline wasp flying around my vehicle. It lingered around my vehicle and myself. Realizing it could be the Asian hor,[0],Unverified,0.1071428571428571,0.2142857142857142,0.3360924812654654
33,33,It was a very large orange hornet about 2 inches. We were sitting down grilling under a tree near John Day dam when a large orange hornet fell onto the ground trying to fly bit it couldn't. I killed it in fear for my young children running around. It was,[1],Unverified,0.1624716553287982,0.4249433106575964,0.4988200870928941
